Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2019-03-13,1390.65,1397.0,1372.95,1378.7,1379.6532981454927,419842,4294,579236400.0,307305.0,73.2,24.05,-11.95
2019-03-12,1352.0,1402.8,1352.0,1389.1,1389.3020252161111,529820,19813,736079999.0,288296.0,54.41,50.8,37.1
2019-03-11,1341.0,1350.0,1340.05,1347.65,1345.4451393971656,120232,4850,161765560.0,61201.0,50.9,9.95,6.65
2019-03-08,1351.2,1364.0,1336.0,1338.35,1349.1136259136235,271857,5889,366765983.0,119029.0,43.78,28.0,-12.85
2019-03-07,1316.0,1357.0,1310.4,1351.25,1345.3127104762775,349208,15579,469793961.0,117420.0,33.62,46.6,35.25
2019-03-06,1307.0,1326.4,1307.0,1314.95,1317.8590607085243,109721,3500,144596814.0,39882.0,36.35,19.4,7.95
2019-03-05,1309.0,1312.0,1276.35,1306.65,1298.5550989478593,205866,6820,267328344.0,106608.0,51.79,35.65,-2.35
2019-03-01,1300.0,1312.15,1296.75,1308.65,1304.730651972629,177124,5305,231099112.0,74862.0,42.27,15.4,8.65
2019-02-28,1290.3,1301.0,1274.95,1294.5,1287.3862304287236,97592,3426,125638597.0,44741.0,45.84,26.05,4.2
2019-02-27,1269.0,1294.9,1268.45,1282.95,1283.4149464441757,191109,7252,245272147.0,73265.0,38.34,26.45,13.95
2019-02-26,1268.0,1274.0,1253.25,1264.15,1264.9090650053752,154418,3476,195324728.0,67341.0,43.61,20.75,-3.85
2019-02-25,1283.45,1285.0,1265.15,1276.9,1274.714968698545,119643,3779,152510723.0,36040.0,30.12,19.85,-6.55
2019-02-22,1282.25,1282.8,1267.0,1279.45,1276.1592024268095,237019,3256,302473978.0,62631.0,26.42,15.8,-2.8
2019-02-21,1282.0,1288.8,1265.15,1282.25,1280.659833380648,183172,5732,234581023.0,76667.0,41.86,23.65,0.25
2019-02-20,1260.55,1280.0,1260.55,1275.1,1273.4504948043773,141369,4875,180026423.0,50539.0,35.75,19.45,14.55
2019-02-19,1245.0,1268.0,1245.0,1255.75,1256.2136028735313,125003,4151,157030469.0,35346.0,28.28,23.0,10.75
2019-02-18,1243.25,1258.55,1236.0,1240.25,1246.5798885387123,272561,5116,339769061.0,176061.0,64.6,22.55,-3.0
